,batch_size,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
55,8,112,128,5.732967918000213,178.61603529733236,3.0541067123413086,3.00936222076416
56,8,128,16,1.4868184670012852,86.08986425771194,3.0629677772521973,3.0395216941833496
57,8,128,32,2.0648110679994716,123.98228775867135,3.0629677772521973,3.0395216941833496
58,8,128,48,2.6568218630000047,144.53358930372494,3.0629677772521973,3.0395216941833496
59,8,128,64,3.2595976350003184,157.07460163252634,3.0629677772521973,3.0395216941833496
60,8,128,80,3.885306535001291,164.72316771777886,3.0629677772521973,3.0395216941833496
61,8,128,96,4.497053180000876,170.77850077811408,3.0629677772521973,3.0395216941833496
62,8,128,112,5.1784457770008885,173.02488788806454,3.0629677772521973,3.0395216941833496
63,8,128,128,5.816830564001066,176.04088493436345,3.0809197425842285,3.0395216941833496
64,16,16,16,1.0195149430001038,251.09980168282235,2.768332004547119,2.747377395629883
65,16,16,32,1.8724788010003977,273.43433726804113,2.817370891571045,2.7903618812561035
66,16,16,48,2.743505014999755,279.93387867019027,2.8696389198303223,2.8388304710388184
67,16,16,64,3.69746025799941,276.9468577206715,2.9253249168395996,2.890839099884033
68,16,16,80,4.577664593000009,279.6185640069234,2.9756951332092285,2.9369215965270996
69,16,16,96,5.607156009000391,273.935663201536,3.0277857780456543,2.985445499420166
70,16,16,112,6.507747322999421,275.3641023625464,3.0805420875549316,3.0342249870300293
71,16,16,128,7.535633159999634,271.7754376461844,3.1335978507995605,3.0830044746398926
72,16,32,16,1.2968172769997182,197.4063767813726,2.8634800910949707,2.8439440727233887
73,16,32,32,2.162394660001155,236.77453957443944,2.8705391883850098,2.8439440727233887
74,16,32,48,3.0581259399987175,251.13419625887678,2.925858974456787,2.890842914581299
75,16,32,64,4.00142648200017,255.9087376979969,2.9765400886535645,2.9369254112243652
76,16,32,80,4.970789238001089,257.5043798305817,3.0277762413024902,2.9854493141174316
77,16,32,96,5.920809607998308,259.42398112667684,3.081442356109619,3.034228801727295
78,16,32,112,6.909977295999852,259.335150209159,3.1341986656188965,3.083008289337158
79,16,32,128,7.9268796859996655,258.36143364420514,3.1884751319885254,3.135249614715576
80,16,48,16,1.5454767529990932,165.64467857780207,2.964871883392334,2.943380832672119
81,16,48,32,2.4337463379997644,210.3752523448274,2.964871883392334,2.943380832672119
82,16,48,48,3.3622935929997766,228.4155082705923,2.9757981300354004,2.943380832672119
83,16,48,64,4.324371505999807,236.79741635964007,3.027888774871826,2.9854531288146973
84,16,48,80,5.3285596309997345,240.21500905299033,3.080578327178955,3.0342326164245605
85,16,48,96,6.32789584099919,242.7347160248867,3.133279323577881,3.0833115577697754
86,16,48,112,7.3379047679991345,244.21140048246144,3.187378406524658,3.1335558891296387
87,16,48,128,8.348279506000836,245.3200085751651,3.2387919425964355,3.1812806129455566
88,16,64,16,1.7849005219995888,143.42536003810915,3.0648598670959473,3.0414137840270996
89,16,64,32,2.7059994000010192,189.20920677211058,3.0648598670959473,3.0414137840270996
90,16,64,48,3.637645524000618,211.12557420255925,3.0648598670959473,3.0414137840270996
91,16,64,64,4.664208222000525,219.54422942996234,3.0805134773254395,3.0414137840270996
92,16,64,80,5.633566668999265,227.20952377179847,3.133269786834717,3.083681583404541
93,16,64,96,6.653403139000147,230.8593013094988,3.188467502593994,3.1344141960144043
94,16,64,112,7.660335062999366,233.93232610093577,3.2387824058532715,3.180685520172119
95,16,64,128,8.698738064000281,235.43644893454672,3.2915940284729004,3.229520320892334
96,16,80,16,2.0478598860008788,125.00855246494639,3.1660685539245605,3.14066743850708
97,16,80,32,2.9711753470000986,172.32237757928024,3.1660685539245605,3.14066743850708
98,16,80,48,4.004089293999641,191.8039143509842,3.1660685539245605,3.14066743850708
99,16,80,64,4.959949620999396,206.4537098652367,3.1660685539245605,3.14066743850708
100,16,80,80,5.997365358000025,213.42705064526015,3.188446521759033,3.14066743850708
101,16,80,96,6.986357994001082,219.85704158288257,3.2387728691101074,3.1806893348693848
102,16,80,112,8.080336974999227,221.77292921625605,3.2919507026672363,3.2295241355895996
103,16,80,128,9.162938298999507,223.5090898979009,3.344285488128662,3.2784810066223145
104,16,96,16,2.3596705309992103,108.48972203403157,3.266239643096924,3.2388834953308105
105,16,96,32,3.296096744001261,155.3352464340786,3.266239643096924,3.2388834953308105
106,16,96,48,4.341871577000347,176.8822468329626,3.266239643096924,3.2388834953308105
107,16,96,64,5.341263729000275,191.71492964112863,3.266239643096924,3.2388834953308105
108,16,96,80,6.369072520999907,200.9711768518295,3.266239643096924,3.2388834953308105
109,16,96,96,7.38708189999852,207.93054968028818,3.2915196418762207,3.2388834953308105
110,16,96,112,8.494539555998927,210.95905059791878,3.344398021697998,3.27848482131958
111,16,96,128,9.5540299209988,214.35980595986007,3.397697925567627,3.3279852867126465
