batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
16,2,1024,256,48.945670180998604,83.68462388712219,7.058254241943359,6.762359619140625,6.762535095214844,6.804347991943359
16,1,1024,512,82.56537988400032,99.21834080469678,7.886562347412109,7.590667724609375,7.590843200683594,7.632656097412109
16,2,1024,512,103.03066335300083,79.51031016788463,7.058254241943359,6.762359619140625,6.762535095214844,6.804347991943359
16,1,1024,1024,170.0942573429993,96.32306378786943,7.886562347412109,7.590667724609375,7.590843200683594,7.632656097412109
16,2,1024,1024,231.80924069799858,70.67880448021094,7.058254241943359,6.762359619140625,6.762535095214844,6.804347991943359
32,1,128,128,17.701549398998395,231.39217407894043,5.580516815185547,5.276763916015625,5.276939392089844,5.326595306396484
32,2,128,128,25.355789786998685,161.54101427754563,5.518489837646484,5.21478271484375,5.214958190917969,5.264583587646484
32,1,128,256,37.883756094001,216.2404377135462,5.654979705810547,5.3552093505859375,5.355384826660156,5.401073455810547
32,2,128,256,53.20723143600026,153.9640341906092,5.564022064208984,5.2617950439453125,5.261970520019531,5.307674407958984
32,1,128,512,81.254702971999,201.63755943635724,5.803890228271484,5.51251220703125,5.512687683105469,5.550563812255859
32,2,128,512,110.67196817500097,148.04110083316368,5.647762298583984,5.35577392578125,5.355949401855469,5.393871307373047
32,1,128,1024,177.5635662730001,184.5423624214661,6.101741790771484,5.825347900390625,5.825523376464844,5.847835540771484
32,2,128,1024,252.26921858700098,129.89297776216478,5.820995330810547,5.5446319580078125,5.544807434082031,5.567073822021484
32,1,256,128,20.060754457000257,204.17975848214866,5.904979705810547,5.6052093505859375,5.605384826660156,5.651073455810547
32,2,256,128,28.076545600000827,145.88689286618933,5.813060760498047,5.5117950439453125,5.511970520019531,5.557674407958984
32,1,256,256,42.65198488099941,192.06609077762684,5.979427337646484,5.68353271484375,5.683708190917969,5.725490570068359
32,2,256,256,56.018025556000794,146.2386422707905,5.854671478271484,5.55877685546875,5.558952331542969,5.600780487060547
32,1,256,512,87.79672429500079,186.61288483781073,6.128353118896484,5.840240478515625,5.840415954589844,5.874446868896484
32,2,256,512,117.08612077999898,139.93118817887054,5.940853118896484,5.65277099609375,5.652946472167969,5.686962127685547
32,1,256,1024,185.76999538399923,176.39016425804562,6.426204681396484,6.153717041015625,6.153892517089844,6.172298431396484
